Freq [GHz],S12_Simulated,S12_Measured,S13_Simulated,S13_Measured,S14_Simulated,S14_Measured
9.26,-27.80663,-28.98261,-30.03423,-28.55906,-25.94458,-27.8748
9.27,-27.90534,-29.00963,-29.95603,-28.49275,-25.98268,-27.90663
9.28,-28.00394,-29.038,-29.88045,-28.43153,-26.02329,-27.93977
9.29,-28.10219,-29.06778,-29.80687,-28.37524,-26.06634,-27.97426
9.3,-28.19986,-29.09903,-29.73467,-28.3237,-26.11174,-28.01015
9.31,-28.2967,-29.13183,-29.66328,-28.27674,-26.15941,-28.04748
9.32,-28.39246,-29.16624,-29.59215,-28.23418,-26.20924,-28.0863
9.33,-28.4869,-29.20234,-29.52077,-28.19584,-26.26112,-28.12668
9.34,-28.57975,-29.24022,-29.44867,-28.16153,-26.31493,-28.16867
9.35,-28.67076,-29.27995,-29.37543,-28.13106,-26.37055,-28.21234
9.36,-28.75967,-29.32163,-29.30069,-28.10425,-26.42786,-28.25775
9.37,-28.84621,-29.36534,-29.22412,-28.08087,-26.48671,-28.305
9.38,-28.93013,-29.41117,-29.14546,-28.06073,-26.54697,-28.35415
9.39,-29.01117,-29.45922,-29.06449,-28.04362,-26.60848,-28.40529
9.4,-29.08906,-29.50961,-28.98107,-28.0293,-26.6711,-28.45852
9.41,-29.16355,-29.56242,-28.89508,-28.01754,-26.73466,-28.51393
9.42,-29.2344,-29.61776,-28.80647,-28.00812,-26.799,-28.57162
9.43,-29.30136,-29.67575,-28.71524,-28.00077,-26.86397,-28.63169
9.44,-29.36419,-29.7365,-28.62143,-27.99524,-26.92939,-28.69425
9.45,-29.42268,-29.80011,-28.52512,-27.99127,-26.9951,-28.75942
9.46,-29.4766,-29.86671,-28.42643,-27.98856,-27.06092,-28.8273
9.47,-29.52576,-29.9364,-28.32551,-27.98682,-27.12669,-28.89803
9.48,-29.56997,-30.00931,-28.22253,-27.98576,-27.19224,-28.9717
9.49,-29.60907,-30.08554,-28.1177,-27.98507,-27.2574,-29.04845
9.5,-29.64289,-30.16519,-28.01124,-27.98442,-27.322,-29.12839
9.51,-29.67132,-30.24838,-27.90336,-27.98348,-27.38588,-29.21163
9.52,-29.69423,-30.33519,-27.79431,-27.98191,-27.44888,-29.29827
9.53,-29.71154,-30.42572,-27.68434,-27.97936,-27.51085,-29.38842
9.54,-29.72317,-30.52004,-27.57367,-27.9755,-27.57164,-29.48216
9.55,-29.72909,-30.6182,-27.46256,-27.96997,-27.63111,-29.57955
9.56,-29.72927,-30.72025,-27.35124,-27.96242,-27.68913,-29.68066
9.57,-29.7237,-30.8262,-27.23993,-27.95252,-27.74558,-29.78551
9.58,-29.71241,-30.93604,-27.12887,-27.93993,-27.80035,-29.89409
9.59,-29.69544,-31.04973,-27.01824,-27.92435,-27.85334,-30.00637
9.6,-29.67286,-31.16719,-26.90826,-27.90547,-27.90445,-30.12226
9.61,-29.64475,-31.28829,-26.79911,-27.88302,-27.95362,-30.24163
9.62,-29.61122,-31.41284,-26.69096,-27.85677,-28.00079,-30.36428
9.63,-29.57239,-31.54062,-26.58398,-27.82651,-28.04591,-30.48996
9.64,-29.52839,-31.6713,-26.47829,-27.79205,-28.08895,-30.61832
9.65,-29.4794,-31.80449,-26.37405,-27.75328,-28.12989,-30.74892
9.66,-29.42556,-31.93973,-26.27137,-27.71011,-28.16875,-30.88125
9.67,-29.36706,-32.07644,-26.17036,-27.66249,-28.20552,-31.01465
9.68,-29.30409,-32.21393,-26.0711,-27.61044,-28.24026,-31.14837
9.69,-29.23686,-32.35143,-25.9737,-27.55399,-28.27299,-31.28153
